The initial price is $10.00
On day 1, the price is $11.07
On day 2, the price is $11.93
On day 3, the price is $13.31
On day 4, the price is $14.27
On day 5, the price is $15.85
On day 6, the price is $15.53
On day 7, the price is $15.98
On day 8, the price is $15.30
On day 9, the price is $17.35
On day 10, the price is $17.51
On day 11, the price is $16.87
On day 12, the price is $16.69
On day 13, the price is $16.81
On day 14, the price is $19.28
On day 15, the price is $22.12
On day 16, the price is $21.19
On day 17, the price is $20.87
On day 18, the price is $20.41
On day 19, the price is $22.07
On day 20, the price is $21.13
On day 21, the price is $20.35
On day 22, the price is $21.83
On day 23, the price is $20.94
On day 24, the price is $20.03
On day 25, the price is $22.17
On day 26, the price is $23.69
On day 27, the price is $23.64
On day 28, the price is $22.93
On day 29, the price is $24.95
On day 30, the price is $26.41
On day 31, the price is $26.04
On day 32, the price is $25.22
On day 33, the price is $27.77
On day 34, the price is $26.51
On day 35, the price is $26.28
On day 36, the price is $29.22
On day 37, the price is $29.06
On day 38, the price is $28.94
On day 39, the price is $33.36
On day 40, the price is $32.73
On day 41, the price is $34.98
On day 42, the price is $39.14
On day 43, the price is $38.22
On day 44, the price is $41.51
On day 45, the price is $40.52
On day 46, the price is $39.58
On day 47, the price is $38.25
On day 48, the price is $38.16
On day 49, the price is $40.30
On day 50, the price is $39.96
On day 51, the price is $40.47
On day 52, the price is $40.16
On day 53, the price is $43.06
On day 54, the price is $42.24
On day 55, the price is $41.88
On day 56, the price is $40.18
On day 57, the price is $39.89
On day 58, the price is $41.29
On day 59, the price is $47.81
On day 60, the price is $48.27
On day 61, the price is $53.33
On day 62, the price is $54.31
On day 63, the price is $58.93
On day 64, the price is $58.92
On day 65, the price is $68.66
On day 66, the price is $79.86
On day 67, the price is $78.36
On day 68, the price is $85.03
On day 69, the price is $89.75
On day 70, the price is $87.47
On day 71, the price is $85.47
On day 72, the price is $82.50
On day 73, the price is $91.32
On day 74, the price is $89.72
On day 75, the price is $94.14
On day 76, the price is $92.98
On day 77, the price is $92.62
On day 78, the price is $106.31
